canonical,alias
Gonzaga,Gonzaga
Gonzaga,Gonzaga Bulldogs
Fresno St.,Fresno St.
Fresno St.,Fresno State
Fresno St.,Fresno St Bulldogs
Santa Clara,Santa Clara
Santa Clara,Santa Clara Broncos
Oregon St.,Oregon St.
Oregon St.,Oregon State
Oregon St.,Oregon St Beavers
Tennessee Martin,Tennessee Martin
Tennessee Martin,UT Martin
Tennessee Martin,Tenn-Martin
NC State,NC State
NC State,North Carolina State
St. John's,St. John's
St. John's,St. John's (NY)
Saint Mary's,Saint Mary's
Saint Mary's,St. Mary's
